Name,Boiling.Point,A,B,C
3-METHYL-2-BUTANOL,375.2,15.0113,1988.08,-137.80
3-METHYL-3-ETHYLPENTANE,391.4,15.8126,3102.06,53.47
3-METHYL-CIS-2-PENTENE,340.9,15.9124,2731.79,-46.47
3-METHYLHEPTANE,392.1,15.8865,3065.96,-60.74
3-METHYLHEXANE,365.0,15.8133,2855.66,-53.93
3-METHYL-TRANS-2-PENTENE,343.6,15.9484,2750.50,-48.33
4- METHYL PYRIDINE,418.5,16.2143,3409.40,-62.65
4-METHYL-CIS-2-PENTENE,329.6,15.7527,2580.52,-46.56
4-METHYLHEPTANE,390.9,15.8893,3057.05,-60.59
4-METHYL-TRANS-2-PENTENE,331.7,15.8425,2631.57,-46.00
ACETALDEHYDE,293.6,16.2481,2465.15,-37.15
ACETIC ACID,391.1,16.8080,3405.57,-56.34
ACETIC ANHYDRIDE,412.0,16.3982,3287.56,-75.11
ACETONE,329.4,16.6513,2940.46,-35.93
ACETONITRILE,354.8,16.2874,2945.47,-49.15
ACETYL CHLORIDE,323.9,15.7514,2447.33,-55.33
ACETYLENE,189.2,16.3481,1637.18,-19.77
ACROLEIN,326.0,15.9057,2606.53,-45.15
ACRYLIC ACID,414.0,16.5617,3319.18,-80.15
ACRYLONITRILE,350.5,15.9253,2782.21,-51.15
ALLYL ALCOHOL,370.0,16.9066,2928.20,-85.15
ALLYL CHLORIDE,318.3,15.9772,2531.92,-47.15
ALLYL CYANIDE,392.0,16.0019,3128.75,-58.15
ALPHA-METHYL STYRENE,438.5,16.3308,3644.30,-67.15
AMMONIA,239.7,16.9481,2132.50,-32.98
ANILINE,457.5,16.6748,3857.52,-73.15
ANTHRACENE,614.4,405.8100,53.70,0.00
ARGON,87.3,15.2330,700.51,-5.84
BENZALDEHYDE,452.0,16.3501,3748.62,-66.12
BENZENE,353.3,15.9008,2788.51,-52.36
BENZOIC ACID,523.0,17.1634,4190.70,-125.20
BENZYL ALCOHOL,478.6,17.4582,4384.81,-73.15
BROMINE,331.9,15.8441,2582.32,-51.56
BROMOBENZENE,429.3,15.7972,3313.00,-67.71
BUTYL BENZOATE,523.0,16.3363,4158.47,-94.15
BUTYL ETHER,415.6,16.0778,3296.15,-66.15
BUTYRONITRILE,391.0,16.2092,3202.21,-56.16
"C,C,T-1,2,4-TRIMETHYLCYCLOPENTANE",391.0,15.7543,3073.95,54.20
"C,T,C-1,2,4-TRIMETHYLCYCLOPENTANE",382.4,15.7756,3009.70,53.23
CARBON DIOXIDE,194.7,22.5898,3103.39,-0.16
CARBON DISULFIDE,319.4,15.9844,2690.83,-31.62
CARBON MONOXIDE,81.7,14.3686,530.22,-13.15
CARBON TETRACHLORIDE,349.7,15.8742,2808.19,-45.99
CARBON TETRAFLUORIDE,145.2,16.0543,1244.55,-13.06
CHLORINE,238.7,15.9610,1978.32,-27.01
CHLOROBENZENE ,404.9,16.0676,3295.12,-55.60
CHLORODIFLUOROMETHANE,232.4,15.5602,1704.80,-41.30
CHLOROFORM,334.3,15.9732,2696.79,-46.16
CHLOROPENTAFLUOROETHANE,234.0,15.7343,1848.90,-30.88
"CIS-1,2-DIMETHYLCYCLOHEXANE",402.9,15.6535,3043.34,-55.30
"CIS-1,2-DIMETHYLCYCLOPENTANE",372.7,15.7729,2922.30,-52.94
"CIS-1,3-DIMETHYLCYCLOHEXANE",393.3,15.7470,3081.95,-55.08
"CIS-1,4-DIMETHYLCYCLOHEXANE",397.5,15.7333,3098.39,-57.00
CIS-2-BUTENE,276.9,15.8171,2210.71,-36.15
CIS-2-HEXENE,342.0,16.2057,2897.97,-39.30
CIS-2-PENTENE,310.1,15.8251,2459.05,-42.56
CIS-3-HEXENE,339.6,15.8384,2680.52,-48.40
CIS-DECALIN,468.9,15.8312,3671.61,-69.74
CYCLOBUTANE,285.7,15.9254,2359.09,-31.78
CYCLOHEPTANE,391.9,15.7818,3066.05,-56.80
CYCLOHEXANE,353.9,15.7527,2766.63,-50.50
CYCLOHEXENE,356.1,15.8243,2813.53,-49.98
CYCLOPENTANE,322.4,15.8574,2588.48,-41.79
CYCLOPENTANONE,403.9,16.0897,3193.92,-66.15
CYCLOPENTENE,317.4,15.9356,2583.07,-39.87
CYCLOPROPANE,240.4,15.8599,1971.04,-26.65
DEUTERIUM,23.7,13.2954,157.89,0.00
DIBUTYLAMINE,432.8,16.7307,3721.90,-64.15
DIBUTYL-O-PHTHALATE,608.0,336.2400,0.00,0.00
DICHLOROMETHANE,313.0,16.3029,2622.44,-41.70
DIETHYL AMINE,280.0,16.2653,2358.77,-35.15
DIETHYL AMINE,328.6,16.0545,2595.01,-53.15
DIETHYL DISULFIDE,427.2,16.0607,3421.57,-64.19
DIETHYL KETONE,375.1,16.8138,3410.51,-40.15
DIETHYL SULFIDE,365.3,15.9531,2896.27,-54.49
DIETHYLENE GLYCOL,519.0,17.0326,4122.52,-122.50
DIHEXYL ETHER,499.6,16.3372,3982.78,-89.15
DIISOPROPYL ETHER,341.5,16.3417,2895.73,-43.15
DIMETHYL ETHER,248.3,16.8467,2361.44,-17.10
DIMETHYL SULFIDE,310.5,16.0001,2511.56,-42.35
DIPHENYL,528.4,16.6832,4602.23,-70.42
DIPHENYL ETHER,531.2,16.3459,4310.25,-87.31
DIPHENYLMETHANE,767.0,14.4856,2902.44,-167.90
DIPROPYLAMINE,382.4,16.5939,3259.08,-55.15
DODECANOL,533.1,398.8900,-105.84,-20.81
ETHANE,184.5,15.6637,1511.42,-17.16
ETHANOL,351.5,18.9119,3803.98,-41.68
ETHYL ACETATE,350.3,16.1516,2790.50,-57.15
ETHYL ACRYLATE,373.0,16.0890,2974.94,-58.15
ETHYL AMINE,289.7,17.0073,2618.73,-37.30
ETHYL BENZOATE,485.9,16.2065,3845.09,-84.15
ETHYL BROMIDE,311.5,15.9338,2511.68,-41.44
ETHYL BUTYL ETHER,365.4,16.0477,2921.52,-55.15
ETHYL BUTYRATE,394.0,15.9987,3127.60,-60.15
ETHYL CHLORIDE,285.4,15.9800,2332.01,-36.48
ETHYL ETHER,307.7,16.0828,2511.29,-41.95
ETHYL FLUORIDE,235.4,16.0686,1966.89,-27.00
ETHYL FORMATE,327.4,16.1611,2603.30,-54.15
ETHYL MERCAPTAN,308.2,16.0077,2497.23,-41.77
ETHYL PROPIONATE,273.0,16.1620,2935.11,-64.17
ETHYL PROPYL ETHER,336.8,15.4539,2423.41,-62.28
ETHYLBENZENE,409.3,16.0195,3279.47,-59.95
ETHYLCYCLOHEXANE,404.9,15.8125,3183.25,-58.15
ETHYLCYCLOPENTANE,376.6,15.8581,2990.13,-52.47
ETHYLENE,169.4,15.5368,1347.01,-18.15
ETHYLENE GLYCOL,470.4,20.2501,6022.18,-28.25
ETHYLENE IMINE,329.8,16.4227,2610.44,-63.15
ETHYLENE OXIDE,283.5,16.7400,2567.61,-29.01
ETHYLENEDIAMINE,390.4,16.4082,3108.49,-72.15
FLUORINE,85.0,15.6700,714.10,-6.00
FLUOROBENZENE,358.5,16.5487,3181.78,-37.59
FORMALDEHYDE,254.0,16.4775,2204.13,-30.15
FORMIC ACID,373.8,16.9882,3599.58,-26.09
FURAN,304.5,16.0612,2442.70,-45.41
GLYCEROL,563.0,17.2392,4487.04,-140.20
HELIUM-4,4.2,12.2514,33.73,1.79
HEPTADECANOL,597.0,15.6161,3672.62,-188.10
HYDRAZINE,386.7,17.9899,3877.65,-45.15
HYDROGEN,20.4,13.6333,164.90,3.19
HYDROGEN BROMIDE,206.1,14.4687,1242.53,-47.86
HYDROGEN CHLORIDE,188.1,16.5040,1714.25,-14.45
HYDROGEN CYANIDE,298.9,16.5138,2585.80,-37.15
HYDROGEN FLUORIDE,292.7,17.6958,3404.49,15.06
HYDROGEN IODIDE,237.6,12.9149,957.96,-85.06
HYDROGEN SULFIDE,212.8,16.1040,1768.69,-26.06
IODINE,457.5,16.1597,3709.23,-68.16
IODOBENZENE,461.4,16.1454,3776.53,-64.38
ISOBUTANE,261.3,15.5381,2032.73,-33.15
ISOBUTANOL,381.0,16.8712,2874.73,-100.30
ISOBUTYL ACETATE,390.0,16.1714,3092.83,-66.15
ISOBUTYL AMINE,340.6,16.1419,2704.16,-56.15
ISOBUTYL FORMATE,371.6,16.2292,2980.47,-64.15
ISOBUTYLBENZENE,445.9,15.9524,3512.47,-69.03
ISOBUTYLCYCLOHEXANE,444.5,15.8141,3437.99,-69.99
ISOBUTYLENE,266.3,15.7528,2125.75,-33.15
ISOBUTYRALDEHYDE,337.0,15.9888,2676.98,-51.15
ISOBUTYRIC ACID,427.9,16.7792,3385.49,-94.15
ISOPROPYL ALCOHOL,355.4,18.6929,3640.20,-53.54
ISOPROPYL AMINE,305.6,16.3637,2582.35,-40.15
ISOPROPYL CHLORIDE,308.9,16.0384,2490.48,-43.15
ISOPROPYLBENZENE,425.6,15.9722,3363.60,-63.37
ISOPROPYLCYCLOHEXANE,427.7,15.8260,3346.12,-63.71
ISOPROPYLCYCLOPENTANE,399.6,15.8561,3176.22,-55.18
KETENE,232.0,16.0197,1849.21,-35.15
KRYPTON,119.8,15.2677,958.75,-8.71
MALEIC ANHYDRIDE,472.8,16.2747,3765.65,-82.15
M-CRESOL,475.4,17.2878,4274.42,-74.09
M-DICHLOROBENZENE,446.0,16.8173,4104.13,-43.15
METHANE,111.7,15.2243,897.84,-7.16
METHANOL,337.8,18.5875,3626.55,-34.29
METHYCYCLOPENTANE,345.0,15.8023,2731.00,-47.11
METHYL ACETATE,330.1,16.1295,2601.92,-56.15
METHYL ACETYLENE,250.0,15.6227,1850.66,-44.07
METHYL ACRYLATE,353.5,16.1088,2788.43,-59.15
METHYL AMINE,266.8,17.2622,2484.83,-32.92
METHYL BENZOATE,472.2,16.2272,3751.83,-81.51
METHYL BROMIDE,276.7,16.0252,2271.71,-34.83
METHYL CHLORIDE,248.9,16.1052,2077.97,-29.55
METHYL ETHYL ETHER,280.5,13.5435,1161.63,-112.40
METHYL ETHYL KETONE,352.8,16.5986,3150.42,-36.65
METHYL ETHYL SULFIDE,339.8,15.9765,2722.95,-48.37
METHYL FLUORIDE,194.8,16.3428,1704.41,-19.27
METHYL FORMATE,304.9,16.5104,2590.87,-42.60
METHYL HYDRAZINE,364.0,15.1424,2319.84,-91.70
METHYL IODIDE,315.6,16.0905,2639.55,-36.50
METHYL ISOBUTYL KETONE,389.6,15.7165,2893.66,-70.75
METHYL ISOCYANATE,312.0,16.3258,2480.37,-56.31
METHYL ISOPROPYL KETONE,367.4,14.1779,1993.12,-103.20
METHYL MERCAPTAN,279.1,16.1909,2338.38,-34.44
METHYL N-PROPYL KETONE,375.5,16.0031,2934.87,-62.25
METHYL PHENYL ETHER,426.8,16.2394,3430.82,-69.58
METHYL PHENYL KETONE,474.9,16.2384,3781.07,-81.15
METHYL PROPIONATE,353.0,16.1693,2804.06,-58.92
METHYLAL,315.0,15.8237,2415.92,-52.58
METHYLCYCLOHEXANE,374.1,15.7105,2926.04,-51.75
M-ETHYLPHENOL,491.6,17.1955,4272.77,-86.08
METHYLPHENYLAMINE,469.1,16.3066,3756.28,-80.71
MONOETHANOLAMINE,443.5,17.8174,3988.33,-86.93
MORPHOLINE,401.4,16.2364,3171.35,-71.15
M-TOLUIDINE,476.5,16.7498,4080.32,-73.15
M-XYLENE,412.3,16.1390,3366.99,-58.04
"N,N-DIMETHYLANILINE",466.7,16.9647,4276.08,-52.80
NAPHTHALENE,491.1,16.1426,3992.01,-71.29
N-BUTANE,272.7,15.6782,2154.90,-34.42
N-BUTANOL,390.9,17.2160,3137.02,-94.43
N-BUTYL AMINE,350.6,16.6085,3012.70,-48.96
N-BUTYL-ACETATE,389.6,16.1836,3151.09,-69.15
N-BUTYLANILINE,513.9,16.3994,4079.72,-96.15
N-BUTYLBENZENE,456.4,16.0793,3633.40,-71.77
N-BUTYLCYCLOHEXANE,454.1,15.9116,3542.57,-72.32
N-BUTYRALDEHYDE,348.0,16.1668,2839.09,-50.15
N-BUTYRIC ACID,436.4,17.9240,4130.93,-70.55
N-DECANE,447.3,16.0114,3456.80,-78.67
N-DECYCLCYCLOPENTANE,552.5,368.3000,-69.78,26.73
N-DECYCYCLOHEXANE,570.8,378.6900,0.00,0.00
N-DODECENE,489.5,16.1134,3774.56,-91.31
N-DODECYCLOPENTANE,584.1,16.1915,4395.87,-124.20
N-EICOSANE,617.0,16.4685,4680.46,-141.10
NEON,27.0,14.0099,180.47,-2.61
N-HEPTADECANE,575.2,16.1510,4294.55,-124.00
N-HEPTANE,371.6,15.8737,2911.32,-56.51
N-HEPTYLCYCLOPENTANE,497.3,16.0589,3850.38,-88.75
N-HEXADECANE,560.0,16.1841,4214.91,-118.70
N-HEXADECYLCYCLOPENTANE,637.0,16.3553,4715.69,-152.10
N-HEXANE,341.9,15.8366,2697.55,-48.78
N-HEXYLCYCLOPENTANE,476.3,16.0140,3702.56,-81.55
NITRIC OXIDE,121.4,20.1314,1572.52,-4.88
NITROGEN,77.4,14.9342,588.72,-6.60
NITROGEN DIOXIDE,294.3,20.5324,4141.29,3.65
NITROGEN TRIFLUORIDE,144.1,15.6107,1155.69,-15.37
NITROMETHANE,374.4,16.2193,2972.64,-64.15
NITROSYL CHLORIDE,2667.7,166.9505,2520.70,-23.46
NITROUS OXIDE,184.7,16.1271,1506.49,-25.99
N-NONADECANE,603.1,16.1533,4450.44,-135.60
N-NONANE,424.0,15.9671,3291.45,-71.33
N-NONYCLYCLOPENTANE,535.3,357.7400,-64.85,24.72
N-OCTADECANE,589.5,16.1232,4361.79,-129.90
N-OCTANE,398.8,15.9426,3120.29,-63.63
N-OCTYLCYCLOPENTANE,516.9,346.1900,-59.92,22.72
N-PENTADECANE,543.8,355.9200,-84.31,17.98
N-PENTADECYLCYCLOPENTANE,625.0,16.3092,4642.01,-145.10
N-PENTANE,309.2,15.8333,2477.07,-39.94
